transcript_hebrew,intent,label,intent_num
שלום אני צריכה להתקשר תקשרי אותי בבקשה לאנה לוי,call_contact,0,2
אני צריכה לכוון שעון מעורר למחר לשעה שש ארבעים ושמונה בבקשה,alarm_set,0,0
תשלחי בבקשה לישראל זילברמן הודעת טקסט הבאה בבקשה תשלחי לו באסאמס שיתקשר אליי כשיתפנה בבקשה,send_message,0,7
אני צריכה להגיע בבקשה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריכה שתכניסי ליומן ליומן הפגישה עם דוקטור רימון בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0,1
מעוניינת להכניס ליומן פגישה עם דוקטור רימון שיהיה בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי ,calendar_set,0,1
אני מעוניינת להכניס ליומן פגישה עם דוקטור חביב בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0,1
מדברת אנה מעוניינת שתכניסי ליומן פגישה עם דוקטור חביב ברביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0,1
מעוניינת שתכניסי ליומן של אנה פגישה עם דוקטור רימון בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0,1
מעוניינת לצלם תמונה של הנוף בעזרת אייפון,camera_query,0,3
אני צריכה בבקשה רשימת קניות של חלב ביצים דגים,lists_createoradd,0,5
 אני רוצה לכוון שעון מעורר לשעה תשע עשרה חמישים וחמש בערב תודה מראש. ,alarm_set,0,0
 מה עיר הבירה של מוזיביק תודה מראש אני רוצה להיות שם תודה,query,0,6
 אני מעוניינת לדעת מה עיר הבירה של מוזיביק תודה מראש,query,0,6
 אני מעוניינת להיפגש פגישה עם יוסי שטרית בשעה שבע תודה מראש,calendar_set,0,1
אני רוצה להיפגש עם יוסי שטרית לעזור לו עם הבישולים תודה מראש היום  ,calendar_set,0,1
 אני מעוניינת להיפגש עם יוסי שטרית פגישה ,calendar_set,0,1
 אני רוצה לקבוע פגישה עם יוסי שטרית תודה,calendar_set,0,1
" אני מוכנה לצלם נוף, אני אוהבת לצלם נופים תודה מראש",camera_query,0,3
" אני רוצה אני מוכנה לצלם נוף, אני אוהבת לצלם נופים תודה מראש",camera_query,0,3
 אני רוצה לשלוח תמונה תודה,camera_query,0,3
 אני רוצה לצלם נוף תודה,camera_query,0,3
", אני מוכנה לקנות עוגיות, דגנים תודה מראש",lists_createoradd,0,5
 אני מבקשת להתקשר לישראל זילברמן ולרשום לו שהוא יתקשר אלי כשהוא יתפנה,send_message,0,7
אני מבקשת לבדוק מה העיר בירה של בליז,query,0,6
 אני צריכה להגיע לשדרות רוטשילד בבאר שבע ברגל את יכולה לכוון אותי בבקשה?,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל אפשר לשלוח לי מפה?,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע תוכל לכוון אותי היכן בדיוק איך בדיוק ללכת לשם כי אני צריכה להגיע לשם ברגל,transport_query,0,8
אני מבקשת להגיע ברגל לבאר שבע שדרות רוטשילד שלושים אפשר לשלוח אליי מפה?,transport_query,0,8
אני מבקשת להגיע לשדרות רוטשילד שלושים בבאר שבע מבקשת הדרכה,transport_query,0,8
מבקשת לקבל הסבר איך מגיעים לרחוב שדרות רוטשילד באר שבע שלושים ברגל,transport_query,0,8
אני מבקשת להגיע ברגל לבאר שבע לשדרות רוטשילד שלושים,transport_query,0,8
אני מעוניינת להגיע לשדרות רוטשילד שלושים בבאר שבע,transport_query,0,8
אני מבקשת להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל היום,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
יש לי קושי להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל האם תוכלי לכוון אותי?,transport_query,0,8
אני מבקשת להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל מבקשת שתשלחי לי מסלול מדוייק,transport_query,0,8
אני מבקשת להכין לי רשימת קניות שתהיה כלולה בה חלב ביצים דגים,lists_createoradd,0,5
בבקשה ממך לשלוח הודעה לישראל זילברמן כאשר יתפנה,send_message,0,7
אני מבקשת לבדוק את עיר הבירה של ,query,0,6
אני צריכה להגיע לכתובת רחוב רוטשילד שלושים,transport_query,0,8
אני צריכה להגיע לרחוב רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריכה להגיע לרחוב רוטשילד שלושים בבאר שבע בהליכה ברגל,transport_query,0,8
שלום לך אני צריכה להגיע לרחוב רוטשילד שלושים אני לא מתמצאת כל כך בהליכה אני צריכה שתעזרי לי עם זה,transport_query,0,8
אני צריכה להגיע לרחוב רוטשילד שלושים בבאר שבע בבקשה ממך אולי את יכולה לשלוח לי,transport_query,0,8
אני מבקשת להגיע לרחוב רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריכה לקבוע פגישה עם דוקטור רימון בתאריך ארבע לשש עשרים וחמש בשעה ארבע עשרה ושלושים,calendar_set,0,1
הפגישה היא ברביעי לשישי אלפיים עשרים וחמש בשעה ארבע עשרה ושלושים,calendar_set,0,1
אני צריכה את הפגישה בתאריך רביעי לשישי עשרים וחמש בשעה ארבע עשרה ושלושים,calendar_set,0,1
אני צריכה את הפגישה עם דוקטור רימון בתאריך רביעי לשישי אלפיים עשרים וחמש בשעה ארבע עשרה שלושים,calendar_set,0,1
אני צריכה לקבוע פגישה עם דוקטור רימון ברביעי לשישי  עשרים וחמש בשעה ארבע עשרה ושלושים,calendar_set,0,1
אני צריכה רשימת קניות למחר,lists_createoradd,0,5
תצרי לי קשר עם אנה לוי בבקשה,call_contact,0,2
תצרי לי קשר בבקשה עם אנה לוי,call_contact,0,2
תצרי לי קשר בבקשה עם אנה לוי,call_contact,0,2
תשיגי לי בבקשה את אנה לוי,call_contact,0,2
תשיגי לי בבקשה את אנה לוי,call_contact,0,2
בבקשה את אנה לוי,call_contact,0,2
בבקשה את לוי אנה,call_contact,0,2
מבקשת השכמה בשש ארבעים ושמונה בבוקר,alarm_set,0,0
מבקשת את השעון המעורר לשש ארבעים ושמונה בבוקר,alarm_set,0,0
מחר בבוקר בשש ארבעים ושמונה,alarm_set,0,0
מבקשת להתעורר בשש ארבעים ושמונה,alarm_set,0,0
מבקשת השכמה לשש ארבעים ושמונה בבוקר,alarm_set,0,0
תשלחי בבקשה הודעת אס אם אס לאדון ישראל זילברמן,send_message,0,7
בבקשה את עיר הבירה של בליז,query,0,6
עיר הבירה של בליז,query,0,6
מבקשת את שם עיר הבירה של בליז,query,0,6
אני צריכה להגיע לשדרות רוטשילד שלושים באר שבע ברגל,transport_query,0,8
שדרות רוטשילד בבאר שבע ברגל,transport_query,0,8
תפתחי בוויז שדרות רוטשילד שלושים באר שבע ברגל,transport_query,0,8
צריכה את הדרך לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
מפה של שדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
שדרות רוטשילד בבאר שבע ברגל מפה,transport_query,0,8
צריכה סימון דרך לשדרות רוטשילד שלושים בבאר שבע רגלית,transport_query,0,8
שדרות רוטשילד שלושים באר שבע ברגל צריכה להגיע לשם,transport_query,0,8
שדרות רוטשילד שלושים באר שבע מפה,transport_query,0,8
ניווט בבקשה לשדרות רוטשילד שלושים באר שבע ברגל,transport_query,0,8
תכניסי לי בבקשה ליומן תור בשעה ארבע עשרה ושלושים לדוקטור רימון,calendar_set,0,1
תור בבקשה בתאריך הרביעי ליוני בשעה שתיים וחצי לדוקטור רימון,calendar_set,0,1
תור לרביעי ליוני בשעה שתיים ושלושים לדוקטור רימון,calendar_set,0,1
אני צריכה את המצלמה לצלם את הנוף,camera_query,0,3
תרשמי לי פתק בבקשה עם רשימת קניות חלב ביצים ודגים,lists_createoradd,0,5
תמצאי לי את אנה לוי באנשי קשר אני צריך להתקשר,call_contact,0,2
אני מעוניין להתקשר לאנה לוי באנשי קשר,call_contact,0,2
תתקשרי לאנה  אנה לוי,call_contact,0,2
תכווני בבקשה שעון מעורר למחר לשעה שש ארבעים ושמונה בבוקר,alarm_set,0,0
תכווני את השעון המעורר לשש ארבעים ושמונה מחר,alarm_set,0,0
כווני את השיון למחר לשש ארבעים ושמונה,alarm_set,0,0
אני רוצה להגיע ברגל לרוטשילד שלושים בבאר שבע שדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריך להגיע ברגל לשדרות רוטשילד שלושים בבאר שבע,transport_query,0,8
אני צריך לשדרות רוטשילד שלושים בבאר שבע ללכת ברגל,transport_query,0,8
אני צריך להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריך להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני הולך ברגל לרוטשילד שלושים בבאר שבע תעזרי לי להגיע,transport_query,0,8
איך אני מגיע ברגל לשלושים רוטשילד בבאר שבע,transport_query,0,8
אני רוצה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
איך אני מגיע לשלושים רוטשילד רוטשילד שלושים בבאר שבע,transport_query,0,8
אני רוצה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
איך אני מגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני מעוניין להגיע ברגל לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני מעוניין להיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
איך אני מגיע ברגל לשלושים רוטשילד באר שבע,transport_query,0,8
אני מעוניין לרשום ביומן פגישות דוקטור רימון בשם ליום רביעי ליוני ארבע עשרה ושלושים שעה ארבע עשרה ושלושים,calendar_set,0,1
אני מעוניין לרשום ביומן פגישה עם דוקטור רימון רופא ליוני בשעה ארבע עשרה ושלושים,calendar_set,0,1
אני מעוניין ברשימה קניות חלב ביצים ודגים,lists_createoradd,0,5
אני מעוניין ברשימת קניות חלב ביצים ודגים,lists_createoradd,0,5
אני מעוניין בפתק רשימת קניות חלב ביצים ודגים,lists_createoradd,0,5
אני מעוניין ברשימת קניות חלב ביצים ודגים,lists_createoradd,0,5
אני צריך פתקית של רשימת קניון חלב ביצים ודגים,lists_createoradd,0,5
אני מעוניינת שתכווני לי שעון מעורר למחר בשעה שש ארבעים ושמונה בבוקר,alarm_set,0,0
אנא שלחי לישראל זילברמן את הודעת הטקסט הבאה באס אם אס,send_message,0,7
לשלוח לישראל זילברמן הודעת הטקסט באס אם אס תתקשר אליי כשתתפנה בבקשה,send_message,0,7
אני מעוניינת לבדוק מה היא העיר הבירה של בליז תודה,query,0,6
אני מעוניינת להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל עם מפה בבקשה,transport_query,0,8
אני מעוניינת להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל עם מפה,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל עם ניווט,transport_query,0,8
אני מעוניינת להכניס ליומן פגישה עם דוקטור רימון בשם תור לרופא בתאריך הרביעי ליוני בשעה ארבע עשרה ושלושים,calendar_set,0,1
תכניסי אותי בבקשה ליומן פגישה עם דוקטור רימון תור לרופא,calendar_set,0,1
את מוכנה בבקשה לכוון את השעון המעורר לשש ארבעים ושמונה בבוקר תודה,alarm_set,0,0
את מוכנה בבקשה לכוון את השעון לשש ארבעים ושמונה בבוקר,alarm_set,0,0
מעוניינת בהשכמה בשש ארבעים ושמונה תודה,alarm_set,0,0
מעוניינת בהשכמה בשש ארבעים ושמונה בבוקר תודה,alarm_set,0,0
בבקשה תעירי אותי בשש ארבעים ושמונה בבוקר,alarm_set,0,0
בבקשה תעירי אותי בשש ארבעים ושמונה בבוקר,alarm_set,0,0
תעירי אותי בבקשה בשש ארבעים שמונה בבוקר,alarm_set,0,0
תשלחי לישראל זילברמן את הודעת הטקסט הבאה באס אם אס תתקשר אליי כשתתפנה בבקשה,send_message,0,7
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
את מוכנה לנווט אותי לשדרות רוטשילד שלושים בבאר שבע,transport_query,0,8
את מוכנה לנווט אותי לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
את מוכנה לנווט אותי לרחוב שדררות רוטשילד באר שבע ברגל,transport_query,0,8
אני מעוניינת להכניס ליומן פגישה עם דוקטור רימון בתאריך הרביעי ליוני בשתיים וחצי בצהריים,calendar_set,0,1
תתקשרי לאנה לוי בבקשה,call_contact,0,2
תתקשרי בבקשה לאנה לוי,call_contact,0,2
תתקשרי לאנה לוי,call_contact,0,2
תתקשרי לאנה לוי,call_contact,0,2
תתקשרי לאנה לוי,call_contact,0,2
תתקשרי לאנה לוי,call_contact,0,2
בבקשה תכוון שעון מעורר לשעה שש ארבעים ושמונה בבוקר,alarm_set,0,0
תכוון בבקשה שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0,0
תכוון שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0,0
תשלח בבקשה אס אם אס לישראל זילברמן שיתקשר אליי בבוקר,send_message,0,7
הייתי רוצה לשאול מה העיר בירה של ליז,query,0,6
הייתי רוצה לשאול מה עיר הבירה של בליז,query,0,6
תרשום לי פתק עם רשימת הקניות שבה יהיה חלב ביצים ודגים,lists_createoradd,0,5
תעשי לי פתק לקניה רשימה קנייה שבה יהיה חלב ביצים ודגים,lists_createoradd,0,5
תעשי לי רשימה לקניה שבה יהיה חלב ביצים ודגים,lists_createoradd,0,5
